message_metric,music_metric,correlation,p_value
message_count,acousticness_q1,-0.007582328174433841,0.8164107989830468
message_count,acousticness_median,-0.026667992334785187,0.414109909175838
message_count,acousticness_q3,-0.04390021125094337,0.17868581754486193
message_count,acousticness_range,-0.07886673275489878,0.015582124830516447
message_count,acousticness_iqr,-0.048987673045139374,0.1333979138104077
message_count,acousticness_std_dev,-0.09069023490470254,0.005803189782350619
message_count,acousticness_min,0.027161151836680997,0.4055271788997199
message_count,acousticness_max,-0.08038979495942448,0.013685426321194759
message_count,acousticness_mean,-0.04009977988455896,0.2193365741867259
message_count,acousticness_skewness,0.04560600438801261,0.1678574489357425
message_count,danceability_q1,-0.022161258745325926,0.497371955531969
message_count,danceability_median,-0.034987088371284995,0.2839066626616406
message_count,danceability_q3,-0.04717311737053106,0.14840718461926508
message_count,danceability_range,-0.04728976782038298,0.14740512317470061
message_count,danceability_iqr,-0.03148789103237569,0.334867964145178
message_count,danceability_std_dev,-0.05540458800486357,0.09234279272989158
message_count,danceability_min,0.04572062743152668,0.16132319704832374
message_count,danceability_max,-0.029692220119057474,0.3631731016358458
message_count,danceability_mean,-0.034677465072680096,0.28819224061732235
message_count,danceability_skewness,0.04005638831860379,0.2258352458381685
message_count,energy_q1,0.07464856728655035,0.022089204513509764
message_count,energy_median,0.06581121214395431,0.04367089738510543
message_count,energy_q3,0.05297715077961591,0.10454079787167798
message_count,energy_range,-0.06534035286841765,0.045201745949277936
message_count,energy_iqr,-0.04381811708326214,0.17950030594967656
message_count,energy_std_dev,-0.07200492553149072,0.028623100899705354
message_count,energy_min,0.08237112375706665,0.011524319731466918
message_count,energy_max,-0.00691098066757331,0.8324134564744847
message_count,energy_mean,0.07354386943725896,0.024141731452413457
message_count,energy_skewness,-0.014375605861261652,0.6639158603089036
message_count,liveness_q1,0.038016372588005,0.24424981483042466
message_count,liveness_median,0.05175795415457135,0.11278007513156786
message_count,liveness_q3,0.035811668287057445,0.27270441540487383
message_count,liveness_range,-0.056878179048220484,0.08134362534626191
message_count,liveness_iqr,0.02238961166894384,0.4929495836746472
message_count,liveness_std_dev,-0.016581205062936172,0.6146990102593795
message_count,liveness_min,0.042064227449043486,0.19756533012338529
message_count,liveness_max,-0.05660623559318367,0.08281238978035461
message_count,liveness_mean,0.032015895103766866,0.3268225868844946
message_count,liveness_skewness,-0.09399159126033671,0.004411640120320833
message_count,loudness_q1,0.05033904623403643,0.12300309281502167
message_count,loudness_median,0.03986365485931963,0.22206495982156793
message_count,loudness_q3,0.03362437379753618,0.30309298052236266
message_count,loudness_range,-0.040837203790174505,0.21097066778608264
message_count,loudness_iqr,-0.046391259717992496,0.1552581177124117
message_count,loudness_std_dev,-0.05596844358058509,0.08907012696601764
message_count,loudness_min,0.04052718758474483,0.21445922263726022
message_count,loudness_max,-0.02245752101402118,0.4916384945873923
message_count,loudness_mean,0.051059509301064725,0.11772544358181333
message_count,loudness_skewness,0.014459256186524666,0.662081042550888
message_count,mode_q1,0.07407598227346707,0.023133323197690667
message_count,mode_median,-0.013095673702479773,0.6884284412396219
message_count,mode_q3,-0.032394910487706895,0.32112534275179344
message_count,mode_range,-0.0030619991355677247,0.9253042397988331
message_count,mode_iqr,-0.08184436475924482,0.012067166983529633
message_count,mode_std_dev,-0.03862086318638521,0.24086758964106877
message_count,mode_min,0.010751666846147217,0.7419963910270286
message_count,mode_max,0.007079397077712214,0.8283921805013479
message_count,mode_mean,0.0009716064131244873,0.9762670267458436
message_count,mode_skewness,0.018316222102370244,0.5798259584990472
message_count,speechiness_q1,-0.016524699496074446,0.6128579775438546
message_count,speechiness_median,-0.03317278089958458,0.30963675598697793
message_count,speechiness_q3,-0.04407325732013724,0.17697795648407014
message_count,speechiness_range,-0.0463872888876372,0.1552935133158528
message_count,speechiness_iqr,-0.046101911701007955,0.15785338605892252
message_count,speechiness_std_dev,-0.038803880089414884,0.2386439645300222
message_count,speechiness_min,-5.106688910909816e-05,0.9987524299041315
message_count,speechiness_max,-0.04764670899592458,0.14437096150778206
message_count,speechiness_mean,-0.03728148737416561,0.2534935828604109
message_count,speechiness_skewness,0.01159177322005312,0.7260659640650153
message_count,tempo_q1,0.04059569765612575,0.2136847394579169
message_count,tempo_median,0.00913860110761911,0.7796177290948724
message_count,tempo_q3,0.00941927227178913,0.7730317248248034
message_count,tempo_range,-0.05684540284480095,0.08151952280411494
message_count,tempo_iqr,-0.02804433281961231,0.3904244905715628
message_count,tempo_std_dev,-0.008470810661185138,0.7970657507150254
message_count,tempo_min,0.050722805749050456,0.12016940650475834
message_count,tempo_max,-0.04949014434026368,0.12945632791108477
message_count,tempo_mean,0.0229328885746087,0.48251338769115365
message_count,tempo_skewness,-0.0006604919461918624,0.9840730323141872
message_count,valence_q1,0.019335288008290853,0.5538001921530084
message_count,valence_median,0.012026702531414265,0.7126835503336432
message_count,valence_q3,0.011047627758976995,0.7351571046814364
message_count,valence_range,-0.04319708279107176,0.18575128293626358
message_count,valence_iqr,-0.008952560417304644,0.7839919633417053
message_count,valence_std_dev,-0.03448910510468079,0.2949748587989296
message_count,valence_min,0.02950783522369356,0.36616187659203175
message_count,valence_max,-0.04434353635860167,0.17433480171909901
message_count,valence_mean,0.010857217206164518,0.7395548876331854
message_count,valence_skewness,-0.056471954297152745,0.08760277628304453
message_count,popularity_q1,0.000788069920072048,0.9806877243793991
message_count,popularity_median,-0.029185180479327583,0.3699024748176806
message_count,popularity_q3,-0.05367548249133337,0.09896142622078767
message_count,popularity_range,-0.08969302285366329,0.005769233143209481
message_count,popularity_iqr,-0.05387626333786681,0.0977035354102773
message_count,popularity_std_dev,-0.08551944425411573,0.008816360125280536
message_count,popularity_min,0.05206714460775381,0.10950913805406828
message_count,popularity_max,-0.09447542048623254,0.003632174064082935
message_count,popularity_mean,-0.022240297893742936,0.494463133919159
message_count,popularity_skewness,0.02076343516823754,0.5275606890104101
message_count,duration_ms_q1,0.04976239997135075,0.12614753487080185
message_count,duration_ms_median,0.04620682593377298,0.15558786840439057
message_count,duration_ms_q3,0.03689021315674734,0.2569950560275792
message_count,duration_ms_range,-0.022005195464292672,0.49903856268124314
message_count,duration_ms_iqr,0.0015306030120662208,0.9625015002295207
message_count,duration_ms_std_dev,-0.010635330192430554,0.74508500742932
message_count,duration_ms_min,0.06318095819856463,0.052060193482899246
message_count,duration_ms_max,-0.01892629217912104,0.5609705398542485
message_count,duration_ms_mean,0.0441044715396904,0.17529262213954996
message_count,duration_ms_skewness,-0.027175668927903702,0.4082983738181418
message_count,explicit_q1,-0.006847151795870546,0.8334158643725882
message_count,explicit_median,-0.027591184851356528,0.3966248139496261
message_count,explicit_q3,-0.04759421951686809,0.1435346176318602
message_count,explicit_range,-0.026600306786152973,0.413807558496499
message_count,explicit_iqr,-0.04479145313109033,0.1686590924342465
message_count,explicit_std_dev,-0.059093067674976074,0.07060162922609517
message_count,explicit_min,-0.01201042153999872,0.7121793154854779
message_count,explicit_max,-0.03406739670727458,0.29522263289395945
message_count,explicit_mean,-0.04145405369257875,0.2027099019597071
message_count,explicit_skewness,0.11611124736821245,0.0003936052316002529
message_count,release_year_q1,0.0036030822166117525,0.9118746706945293
message_count,release_year_median,0.00279276809653832,0.9316380611555094
message_count,release_year_q3,0.0022578923592060495,0.9447074295017608
message_count,release_year_range,-0.031851889657996554,0.32776520385171715
message_count,release_year_iqr,-0.0042540096821620235,0.8960374291615623
message_count,release_year_std_dev,-0.017111740380937695,0.6008787285107552
message_count,release_year_min,0.03189595511384827,0.3270961070008671
message_count,release_year_max,0.011556128620244011,0.7226082693145447
message_count,release_year_mean,0.00982362323288348,0.7628395343028674
message_count,release_year_skewness,0.03918641563137029,0.23303055969527617
message_count,artist_entropy,-0.023385496961895923,0.472030842201269
message_count,album_entropy,0.005802204052089454,0.85839833260254
message_count,track_entropy,0.0008721610367985021,0.9786048386315792
message_count,playlist_length_q1,0.1165409606997795,0.0003234267291584031
message_count,playlist_length_median,0.09850658879300563,0.0023944915517416167
message_count,playlist_length_q3,0.07612764891142101,0.019065359700479966
message_count,playlist_length_range,-0.013743474608375019,0.6725740895481584
message_count,playlist_length_iqr,0.02381195312376998,0.4639871627528925
message_count,playlist_length_std_dev,0.027076314603059003,0.4495912783056154
message_count,playlist_length_min,0.08796824890316553,0.006724468926450767
message_count,playlist_length_max,-0.00243250281083796,0.9403761450667011
message_count,playlist_length_mean,0.06991613482710289,0.03135919795149
message_count,playlist_length_skewness,-0.07018531136202574,0.07156147504552653
message_count,playlists_count,-0.0452817932160902,0.1287022610031142
message_count,tracks_count,-0.01754161677518884,0.5563455473372331
message_count,has_spotify,0.01757454191849248,0.386806421423538
vader_negative_q1,acousticness_q1,-0.01679083517783268,0.6071481615135268
vader_negative_q1,acousticness_median,-0.02880440222557365,0.37770424180234413
vader_negative_q1,acousticness_q3,-0.02183398443021409,0.5037466769822257
vader_negative_q1,acousticness_range,0.016750728625794634,0.6080071100243436
vader_negative_q1,acousticness_iqr,-0.014729190510144916,0.6519808924185885
vader_negative_q1,acousticness_std_dev,-3.3547548028075044e-05,0.9991874530366514
vader_negative_q1,acousticness_min,-0.018423311367206142,0.5726559162801804
vader_negative_q1,acousticness_max,0.011787485971996579,0.7181524197316275
vader_negative_q1,acousticness_mean,-0.01906810998856746,0.5592927238520307
vader_negative_q1,acousticness_skewness,0.0006099295773632632,0.9852921393366352
vader_negative_q1,danceability_q1,-0.0220225863530462,0.500067798895874
vader_negative_q1,danceability_median,-0.01769913886512159,0.5878421150615308
vader_negative_q1,danceability_q3,4.508896226261647e-05,0.9988984712599911
vader_negative_q1,danceability_range,0.05760209232771908,0.0775364494764518
vader_negative_q1,danceability_iqr,0.03803759451010689,0.24398643164796177
vader_negative_q1,danceability_std_dev,0.047559656140036155,0.14858463609515485
vader_negative_q1,danceability_min,-0.05115988736933231,0.11700443451822326
vader_negative_q1,danceability_max,0.043508088379533516,0.18260107985057175
vader_negative_q1,danceability_mean,-0.01661842782070619,0.6108443784361749
vader_negative_q1,danceability_skewness,0.0017310314563846105,0.9582744989566779
vader_negative_q1,energy_q1,0.008715484500288117,0.78957602315943
vader_negative_q1,energy_median,0.021443883644035898,0.5114010287706919
vader_negative_q1,energy_q3,0.03085610300476892,0.3446606986789808
vader_negative_q1,energy_range,0.06648651168321958,0.04155185183654498
vader_negative_q1,energy_iqr,0.025987029084055112,0.42613581102981807
vader_negative_q1,energy_std_dev,0.04737162215045572,0.15019834602330537
vader_negative_q1,energy_min,-0.0634922341525247,0.051653713065290506
vader_negative_q1,energy_max,0.044771375786048576,0.17021114373361707
vader_negative_q1,energy_mean,0.012510907593400795,0.7016591379507947
vader_negative_q1,energy_skewness,-0.03330223543859992,0.3140253596793899
